ebno_db,perfect_csi_ber,pilot_2_ber,pilot_4_ber,pilot_8_ber
-4.000000000000000000e+00,2.965087890625000000e-01,3.583984375000000000e-01,3.513997495174407959e-01,3.282877504825592041e-01
-3.500000000000000000e+00,2.899169921875000000e-01,3.579101562500000000e-01,3.256835937500000000e-01,3.117675781250000000e-01
-3.000000000000000000e+00,2.653808593750000000e-01,3.328450620174407959e-01,3.127441406250000000e-01,3.084716796875000000e-01
-2.500000000000000000e+00,2.492675781250000000e-01,3.279622495174407959e-01,2.980957031250000000e-01,2.972412109375000000e-01
-2.000000000000000000e+00,2.390625029802322388e-01,2.998046875000000000e-01,2.951660156250000000e-01,2.595214843750000000e-01
-1.500000000000000000e+00,2.249023467302322388e-01,2.866210937500000000e-01,2.702636718750000000e-01,2.613525390625000000e-01
-1.000000000000000000e+00,2.072265595197677612e-01,2.670898437500000000e-01,2.495117187500000000e-01,2.359375059604644775e-01
-5.000000000000000000e-01,2.095703184604644775e-01,2.762451171875000000e-01,2.427734434604644775e-01,2.260742187500000000e-01
0.000000000000000000e+00,1.940917968750000000e-01,2.373046875000000000e-01,2.290039062500000000e-01,2.128906250000000000e-01
5.000000000000000000e-01,1.660970002412796021e-01,2.243164032697677612e-01,2.083007842302322388e-01,2.003906220197677612e-01
1.000000000000000000e+00,1.638997346162796021e-01,2.140624970197677612e-01,1.984374970197677612e-01,1.866862028837203979e-01
1.500000000000000000e+00,1.413923054933547974e-01,2.006022185087203979e-01,1.856282502412796021e-01,1.726074218750000000e-01
2.000000000000000000e+00,1.259155273437500000e-01,1.898600310087203979e-01,1.697591096162796021e-01,1.614815890789031982e-01
2.500000000000000000e+00,1.250610351562500000e-01,1.647600382566452026e-01,1.598074734210968018e-01,1.487862765789031982e-01
3.000000000000000000e+00,1.182183176279067993e-01,1.604352742433547974e-01,1.418805867433547974e-01,1.340942382812500000e-01
3.500000000000000000e+00,1.039550751447677612e-01,1.376953125000000000e-01,1.356811523437500000e-01,1.235961914062500000e-01
4.000000000000000000e+00,9.179687500000000000e-02,1.246948242187500000e-01,1.166992187500000000e-01,1.078125014901161194e-01
4.500000000000000000e+00,8.447265625000000000e-02,1.171332448720932007e-01,1.112196147441864014e-01,9.990234673023223877e-02
5.000000000000000000e+00,7.414899766445159912e-02,1.085069477558135986e-01,9.406072646379470825e-02,9.126420319080352783e-02
5.500000000000000000e+00,6.793619692325592041e-02,1.041015610098838806e-01,9.161932021379470825e-02,8.329264074563980103e-02
6.000000000000000000e+00,6.530761718750000000e-02,9.286221861839294434e-02,8.052884787321090698e-02,7.718599587678909302e-02
6.500000000000000000e+00,5.957031250000000000e-02,8.142089843750000000e-02,7.553335279226303101e-02,6.985677033662796021e-02
7.000000000000000000e+00,5.219469591975212097e-02,7.951472699642181396e-02,6.816406548023223877e-02,5.954159051179885864e-02
7.500000000000000000e+00,4.396654292941093445e-02,6.686197966337203979e-02,6.106387823820114136e-02,5.582682415843009949e-02
8.000000000000000000e+00,4.021484404802322388e-02,6.320190429687500000e-02,5.288856849074363708e-02,4.668898880481719971e-02
8.500000000000000000e+00,3.817983716726303101e-02,5.876608565449714661e-02,5.114746093750000000e-02,4.554332420229911804e-02
9.000000000000000000e+00,3.573172539472579956e-02,4.973144456744194031e-02,3.980468586087226868e-02,3.705511987209320068e-02
9.500000000000000000e+00,3.076171875000000000e-02,4.713076725602149963e-02,4.221598431468009949e-02,3.553989902138710022e-02
1.000000000000000000e+01,2.596885338425636292e-02,3.894982114434242249e-02,3.541782870888710022e-02,3.305663913488388062e-02
1.050000000000000000e+01,2.464599534869194031e-02,3.441540896892547607e-02,3.219506144523620605e-02,2.783203125000000000e-02
1.100000000000000000e+01,2.106881700456142426e-02,3.112792968750000000e-02,2.806919626891613007e-02,2.709301188588142395e-02
1.150000000000000000e+01,1.917700655758380890e-02,2.738443948328495026e-02,2.613589726388454437e-02,2.355375699698925018e-02
1.200000000000000000e+01,1.645507849752902985e-02,2.471923828125000000e-02,2.197265625000000000e-02,2.028858475387096405e-02
